idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
54,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop14.vnnlib",600,600,3.39,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0054__14_ieee_ml4acopf__14_ieee_prop14.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0054__14_ieee_ml4acopf__14_ieee_prop14.log"
55,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop10.vnnlib",600,600,3.40,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0055__14_ieee_ml4acopf__14_ieee_prop10.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0055__14_ieee_ml4acopf__14_ieee_prop10.log"
56,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop5.vnnlib",600,600,3.41,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0056__14_ieee_ml4acopf__14_ieee_prop5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0056__14_ieee_ml4acopf__14_ieee_prop5.log"
57,"./onnx/300_ieee_ml4acopf-linear-residual.onnx","./vnnlib/300_ieee_prop3.vnnlib",600,600,10.22,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0057__300_ieee_ml4acopf-linear-residual__300_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0057__300_ieee_ml4acopf-linear-residual__300_ieee_prop3.log"
58,"./onnx/300_ieee_ml4acopf-linear-residual.onnx","./vnnlib/300_ieee_prop105.vnnlib",600,600,3.42,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0058__300_ieee_ml4acopf-linear-residual__300_ieee_prop105.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0058__300_ieee_ml4acopf-linear-residual__300_ieee_prop105.log"
59,"./onnx/300_ieee_ml4acopf-linear-residual.onnx","./vnnlib/300_ieee_prop2.vnnlib",600,600,43.29,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0059__300_ieee_ml4acopf-linear-residual__300_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0059__300_ieee_ml4acopf-linear-residual__300_ieee_prop2.log"
60,"./onnx/300_ieee_ml4acopf-linear-residual.onnx","./vnnlib/300_ieee_prop4.vnnlib",600,600,10.48,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0060__300_ieee_ml4acopf-linear-residual__300_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0060__300_ieee_ml4acopf-linear-residual__300_ieee_prop4.log"
61,"./onnx/118_ieee_ml4acopf-linear-residual.onnx","./vnnlib/118_ieee_prop2.vnnlib",600,600,42.03,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0061__118_ieee_ml4acopf-linear-residual__118_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0061__118_ieee_ml4acopf-linear-residual__118_ieee_prop2.log"
62,"./onnx/118_ieee_ml4acopf-linear-residual.onnx","./vnnlib/118_ieee_prop4.vnnlib",600,600,17.85,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0062__118_ieee_ml4acopf-linear-residual__118_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0062__118_ieee_ml4acopf-linear-residual__118_ieee_prop4.log"
63,"./onnx/118_ieee_ml4acopf-linear-residual.onnx","./vnnlib/118_ieee_prop3.vnnlib",600,600,9.22,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0063__118_ieee_ml4acopf-linear-residual__118_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0063__118_ieee_ml4acopf-linear-residual__118_ieee_prop3.log"
