Fri May 29 09:45:45 AM AEST 2026
=== HYB_Z parallel GPU-mid stream  gate>=25GB ===
    [gate-mid] cora_2024: 94 GB free >= 25 GB, proceeding
=== 09:45:45  [mid] bench=cora_2024  workers=1  gpu=0 ===
  [43/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AT_label-15_eps-2_idx-76.vnnlib
  [44/150]    5.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-C2LOP.P_label-6_eps-2_idx-31.vnnlib
  [45/150]    4.7s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.L_label-3_eps-2_idx-18.vnnlib
  [46/150]    5.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Autorun.K_label-5_eps-1_idx-28.vnnlib
  [47/150]    5.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.A_label-2_eps-2_idx-13.vnnlib
  [48/150]    5.0s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Alueron.gen!J_label-4_eps-1_idx-23.vnnlib
  [49/150]    5.0s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Dialplatform.B_label-8_eps-2_idx-43.vnnlib
  [50/150]    4.9s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Instantaccess_label-11_eps-2_idx-55.vnnlib
  [51/150]  130.6s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.vnnlib
  [52/150]  130.7s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-VB.AT_label-22_eps-3_idx-112.vnnlib
  [53/150]  131.1s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-Allaple.A_label-2_eps-3_idx-11.vnnlib
  [54/150]  130.7s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-Skintrim.N_label-19_eps-3_idx-96.vnnlib
  [55/150]  130.6s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.vnnlib
  [56/150]  116.3s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-Agent.FYI_label-1_eps-2_idx-8.vnnlib
  [57/150]  131.1s  onnx/malware_malimg_family_scaled_4-25.onnx  vnnlib/malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.vnnlib
